"","department","education","gender","recruitment_channel","no_of_trainings","age","previous_year_rating","length_of_service","awards_won.","avg_training_score","is_promoted"
"33701","Technology","Bachelor's","f","other",1,58,1,14,"No",78,"Non-Promotion"
"33702","Sales & Marketing","Bachelor's","f","sourcing",1,26,3,3,"No",46,"Non-Promotion"
"33703","Procurement","Master's & above","m","other",1,36,3,2,"No",71,"Non-Promotion"
"33704","Procurement","Bachelor's","m","other",1,37,3,7,"No",73,"Non-Promotion"
"33705","Sales & Marketing","Bachelor's","m","other",1,39,5,6,"No",57,"Non-Promotion"
"33707","Sales & Marketing","Bachelor's","m","other",1,44,5,15,"No",48,"Non-Promotion"
"33708","Operations","Master's & above","m","other",1,46,5,20,"No",59,"Non-Promotion"
"33710","Finance","Bachelor's","m","sourcing",1,31,3,3,"No",56,"Non-Promotion"
"33711","Operations","Bachelor's","m","other",1,27,3,3,"No",55,"Promotion"
"33712","Operations","Bachelor's","m","sourcing",3,33,3,2,"No",57,"Non-Promotion"
"33713","Procurement","Bachelor's","f","other",1,28,3,3,"No",66,"Non-Promotion"
"33714","Procurement","Bachelor's","f","sourcing",1,30,4,2,"No",74,"Non-Promotion"
"33718","R&D","Bachelor's","m","other",1,30,4,6,"No",85,"Non-Promotion"
"33723","Procurement","Bachelor's","m","sourcing",1,33,5,6,"No",71,"Non-Promotion"
"33726","Legal","Bachelor's","m","sourcing",1,55,3,17,"No",60,"Non-Promotion"
"33729","Sales & Marketing","Bachelor's","f","sourcing",1,44,5,7,"No",54,"Non-Promotion"
"33730","Technology","Bachelor's","m","sourcing",2,27,3,3,"No",79,"Non-Promotion"
"33731","Procurement","Bachelor's","f","sourcing",1,43,3,6,"No",64,"Non-Promotion"
"33732","Analytics","Bachelor's","m","other",1,28,3,6,"No",84,"Non-Promotion"
"33735","Operations","Master's & above","m","other",1,40,2,11,"No",58,"Non-Promotion"
"33740","Finance","Bachelor's","m","other",2,26,3,2,"No",59,"Non-Promotion"
"33744","Procurement","Bachelor's","f","sourcing",1,39,3,4,"No",68,"Non-Promotion"
"33752","Operations","Bachelor's","m","sourcing",1,44,3,2,"No",57,"Non-Promotion"
"33756","Sales & Marketing","Master's & above","m","other",2,35,1,4,"No",50,"Non-Promotion"
"33757","Legal","Bachelor's","m","sourcing",1,29,3,2,"No",60,"Non-Promotion"
"33759","Procurement","Bachelor's","f","sourcing",1,39,3,10,"No",68,"Promotion"
"33760","Operations","Bachelor's","m","sourcing",1,31,3,4,"No",60,"Non-Promotion"
"33761","Analytics","Bachelor's","m","other",2,31,5,5,"No",83,"Non-Promotion"
"33763","Sales & Marketing","Master's & above","m","other",1,39,3,7,"No",45,"Non-Promotion"
"33764","Sales & Marketing","Bachelor's","m","sourcing",1,46,5,2,"No",47,"Non-Promotion"
"33765","Operations","Bachelor's","m","other",1,30,2,9,"No",57,"Non-Promotion"
"33766","Sales & Marketing","Master's & above","m","sourcing",1,31,1,4,"Yes",50,"Non-Promotion"
"33770","Sales & Marketing","Bachelor's","m","other",1,37,1,7,"No",50,"Promotion"
"33771","Finance","Bachelor's","m","sourcing",1,28,5,3,"No",61,"Non-Promotion"
"33772","HR","Bachelor's","m","other",1,60,3,7,"No",53,"Non-Promotion"
"33773","Technology","Bachelor's","f","other",1,29,1,8,"No",80,"Non-Promotion"
"33775","Operations","Bachelor's","f","other",1,30,3,4,"No",61,"Non-Promotion"
"33776","Technology","Bachelor's","m","sourcing",1,27,1,2,"No",74,"Non-Promotion"
"33779","Sales & Marketing","Master's & above","m","sourcing",1,44,3,4,"No",54,"Promotion"
"33783","Sales & Marketing","Bachelor's","m","other",5,25,1,3,"No",44,"Non-Promotion"
"33791","HR","Master's & above","f","sourcing",1,48,3,5,"No",53,"Non-Promotion"
"33792","Operations","Master's & above","f","other",1,33,3,3,"No",61,"Non-Promotion"
"33793","Operations","Bachelor's","m","other",1,33,3,7,"No",60,"Non-Promotion"
"33794","Operations","Bachelor's","m","other",1,35,5,7,"No",60,"Non-Promotion"
"33797","Operations","Bachelor's","m","sourcing",1,29,1,6,"No",60,"Non-Promotion"
"33799","Sales & Marketing","Bachelor's","m","other",1,29,4,2,"No",53,"Non-Promotion"
"33800","Operations","Master's & above","m","other",1,31,3,5,"Yes",58,"Non-Promotion"
"33802","HR","Master's & above","m","other",1,34,3,2,"Yes",49,"Non-Promotion"
"33806","Analytics","Bachelor's","m","other",1,36,1,7,"No",84,"Non-Promotion"
"33811","Finance","Master's & above","m","other",1,44,3,18,"No",57,"Non-Promotion"
"33812","Operations","Bachelor's","m","other",1,28,5,3,"No",58,"Non-Promotion"
"33813","Sales & Marketing","Bachelor's","m","sourcing",2,27,3,3,"No",49,"Non-Promotion"
"33814","HR","Bachelor's","m","other",1,24,1,3,"No",50,"Non-Promotion"
"33817","Analytics","Bachelor's","m","sourcing",1,28,5,6,"No",84,"Promotion"
"33818","HR","Bachelor's","m","other",1,26,2,3,"No",50,"Non-Promotion"
"33822","Sales & Marketing","Bachelor's","f","other",1,56,5,9,"No",55,"Non-Promotion"
"33833","Finance","Bachelor's","m","sourcing",1,25,3,2,"No",58,"Non-Promotion"
"33834","Sales & Marketing","Master's & above","m","other",1,35,4,6,"No",46,"Promotion"
"33835","Technology","Bachelor's","m","sourcing",1,30,3,4,"No",78,"Non-Promotion"
"33837","Procurement","Master's & above","f","other",2,37,4,8,"No",69,"Non-Promotion"
"33838","Operations","Master's & above","m","other",1,38,2,7,"No",62,"Non-Promotion"
"33839","Sales & Marketing","Bachelor's","m","sourcing",1,33,5,6,"No",53,"Non-Promotion"
"33840","Operations","Bachelor's","f","sourcing",1,34,4,6,"No",63,"Non-Promotion"
"33841","Operations","Bachelor's","m","other",2,28,3,6,"No",57,"Non-Promotion"
"33842","Technology","Bachelor's","m","other",1,40,3,7,"No",81,"Non-Promotion"
"33846","Operations","Bachelor's","f","other",1,28,2,3,"No",58,"Non-Promotion"
"33847","Operations","Bachelor's","m","other",1,54,3,2,"No",60,"Non-Promotion"
"33849","Operations","Master's & above","m","sourcing",1,42,3,14,"No",61,"Promotion"
"33852","Technology","Bachelor's","m","sourcing",1,29,5,5,"No",79,"Promotion"
"33853","Procurement","Bachelor's","f","other",1,32,4,6,"No",68,"Non-Promotion"
"33860","Sales & Marketing","Master's & above","m","other",1,38,3,12,"No",49,"Non-Promotion"
"33861","Technology","Master's & above","m","sourcing",1,37,5,10,"No",80,"Non-Promotion"
"33862","Legal","Master's & above","m","sourcing",1,36,3,4,"No",66,"Non-Promotion"
"33864","Technology","Master's & above","m","other",1,39,5,13,"No",78,"Non-Promotion"
"33865","Sales & Marketing","Bachelor's","m","other",1,34,5,8,"No",48,"Non-Promotion"
"33867","Procurement","Bachelor's","m","other",2,37,3,5,"No",70,"Non-Promotion"
"33868","Procurement","Master's & above","f","sourcing",1,57,5,27,"No",69,"Non-Promotion"
"33869","Operations","Bachelor's","m","other",1,39,3,6,"No",59,"Non-Promotion"
"33871","Sales & Marketing","Bachelor's","m","sourcing",1,29,2,5,"No",51,"Non-Promotion"
"33872","Operations","Master's & above","f","other",1,35,4,8,"No",54,"Non-Promotion"
"33876","Legal","Bachelor's","m","other",1,32,3,4,"No",57,"Non-Promotion"
"33879","Sales & Marketing","Bachelor's","m","other",4,29,1,6,"No",51,"Non-Promotion"
"33880","Sales & Marketing","Master's & above","m","sourcing",1,38,3,10,"Yes",46,"Non-Promotion"
"33882","Operations","Bachelor's","f","sourcing",1,31,3,5,"No",58,"Non-Promotion"
"33885","Sales & Marketing","Bachelor's","m","sourcing",1,38,3,12,"No",50,"Non-Promotion"
"33886","Operations","Bachelor's","m","sourcing",1,31,5,5,"No",60,"Non-Promotion"
"33891","Operations","Bachelor's","f","other",1,30,5,4,"No",64,"Non-Promotion"
"33895","Procurement","Bachelor's","m","other",1,28,3,8,"No",70,"Non-Promotion"
"33900","Operations","Master's & above","f","other",1,45,3,14,"No",63,"Non-Promotion"
"33901","Operations","Master's & above","m","sourcing",1,38,3,7,"No",62,"Non-Promotion"
"33902","Analytics","Bachelor's","m","sourcing",1,32,1,7,"No",83,"Non-Promotion"
"33904","Technology","Master's & above","f","sourcing",1,33,2,5,"No",77,"Non-Promotion"
"33907","Operations","Master's & above","m","other",2,38,3,7,"No",63,"Non-Promotion"
"33908","Procurement","Bachelor's","m","other",2,38,5,3,"No",67,"Non-Promotion"
"33909","Operations","Master's & above","f","other",1,35,1,5,"No",61,"Non-Promotion"
"33911","Sales & Marketing","Bachelor's","m","other",1,29,5,5,"No",49,"Non-Promotion"
"33919","Sales & Marketing","Bachelor's","m","other",1,32,1,9,"No",48,"Non-Promotion"
"33925","Operations","Bachelor's","f","other",2,29,5,5,"No",62,"Non-Promotion"
"33926","Sales & Marketing","Bachelor's","m","other",1,41,3,6,"No",50,"Non-Promotion"
"33932","Procurement","Master's & above","f","other",1,42,4,14,"No",70,"Non-Promotion"
"33936","Technology","Bachelor's","m","other",1,47,5,5,"No",80,"Non-Promotion"
"33938","Sales & Marketing","Bachelor's","f","sourcing",1,45,3,5,"No",45,"Non-Promotion"
"33942","Sales & Marketing","Bachelor's","m","sourcing",1,27,5,3,"No",52,"Non-Promotion"
"33943","Technology","Bachelor's","m","other",2,30,3,3,"No",77,"Non-Promotion"
"33948","Technology","Bachelor's","m","sourcing",2,38,3,9,"No",82,"Non-Promotion"
"33949","Technology","Bachelor's","m","sourcing",1,52,4,19,"No",82,"Non-Promotion"
"33954","Technology","Below Secondary","f","other",1,21,4,2,"Yes",81,"Non-Promotion"
"33959","Procurement","Master's & above","m","other",3,59,4,5,"No",69,"Non-Promotion"
"33961","Operations","Bachelor's","m","other",1,34,5,9,"No",59,"Non-Promotion"
"33962","Operations","Master's & above","m","other",1,39,4,4,"No",58,"Non-Promotion"
"33965","Technology","Master's & above","m","sourcing",1,35,1,10,"No",79,"Non-Promotion"
"33968","Sales & Marketing","Bachelor's","m","other",1,26,3,3,"No",50,"Non-Promotion"
"33975","Operations","Bachelor's","m","sourcing",1,32,3,7,"No",62,"Non-Promotion"
"33978","Procurement","Master's & above","m","sourcing",1,38,4,7,"No",66,"Non-Promotion"
"33984","Operations","Bachelor's","m","other",1,32,3,3,"No",61,"Non-Promotion"
"33985","Sales & Marketing","Bachelor's","m","other",1,33,4,5,"No",51,"Non-Promotion"
"33986","Sales & Marketing","Master's & above","m","other",2,53,2,7,"No",49,"Non-Promotion"
"33989","Operations","Master's & above","m","other",1,55,3,7,"No",61,"Non-Promotion"
"33992","Legal","Master's & above","m","other",1,50,3,7,"No",65,"Non-Promotion"
"33995","Procurement","Master's & above","f","other",1,41,4,7,"No",64,"Non-Promotion"
"34000","Operations","Bachelor's","f","other",1,36,3,8,"Yes",92,"Promotion"
"34001","Sales & Marketing","Master's & above","m","other",1,37,4,8,"No",50,"Non-Promotion"
"34002","Sales & Marketing","Master's & above","m","other",2,30,1,2,"No",47,"Non-Promotion"
"34005","Technology","Bachelor's","f","other",1,27,3,2,"No",78,"Promotion"
"34006","Analytics","Bachelor's","m","sourcing",1,37,5,3,"No",87,"Non-Promotion"
"34007","Technology","Bachelor's","f","other",1,28,3,3,"No",81,"Non-Promotion"
"34008","Sales & Marketing","Bachelor's","m","other",2,41,3,9,"No",51,"Non-Promotion"
"34020","Analytics","Master's & above","m","other",1,35,3,4,"No",80,"Non-Promotion"
"34024","HR","Master's & above","m","other",1,32,3,6,"No",50,"Non-Promotion"
"34027","Procurement","Bachelor's","f","other",1,31,2,5,"No",71,"Non-Promotion"
"34032","Technology","Bachelor's","m","other",1,31,4,2,"No",82,"Non-Promotion"
"34033","Procurement","Master's & above","f","sourcing",1,36,3,3,"No",69,"Non-Promotion"
"34034","Analytics","Bachelor's","m","other",2,30,4,3,"No",86,"Non-Promotion"
"34039","Sales & Marketing","Bachelor's","m","other",1,29,4,6,"No",48,"Non-Promotion"
"34040","Operations","Master's & above","f","other",1,46,3,4,"No",59,"Non-Promotion"
"34041","Sales & Marketing","Bachelor's","m","sourcing",1,31,3,4,"No",53,"Non-Promotion"
"34042","Finance","Bachelor's","m","sourcing",1,25,4,2,"No",60,"Non-Promotion"
"34045","Operations","Bachelor's","f","sourcing",1,27,3,3,"No",62,"Non-Promotion"
"34046","Analytics","Master's & above","m","other",2,30,3,4,"No",84,"Non-Promotion"
"34058","Sales & Marketing","Bachelor's","m","other",1,33,5,7,"No",53,"Non-Promotion"
"34060","Sales & Marketing","Bachelor's","m","other",1,37,5,10,"No",52,"Non-Promotion"
"34065","HR","Bachelor's","m","other",1,30,3,4,"No",49,"Non-Promotion"
"34069","Analytics","Bachelor's","m","sourcing",1,43,3,6,"No",79,"Non-Promotion"
"34073","Sales & Marketing","Master's & above","f","other",1,56,1,16,"No",55,"Non-Promotion"
"34078","Sales & Marketing","Bachelor's","m","other",1,42,3,16,"No",48,"Non-Promotion"
"34081","Operations","Master's & above","f","sourcing",3,44,4,15,"No",61,"Non-Promotion"
"34082","Finance","Bachelor's","f","sourcing",1,34,3,9,"No",62,"Non-Promotion"
"34086","Operations","Bachelor's","m","sourcing",1,30,5,4,"No",62,"Non-Promotion"
"34092","Operations","Bachelor's","f","other",1,28,3,4,"No",61,"Non-Promotion"
"34093","Operations","Master's & above","m","sourcing",2,46,3,15,"No",60,"Non-Promotion"
"34096","Sales & Marketing","Bachelor's","f","other",2,27,2,2,"No",51,"Non-Promotion"
"34098","HR","Master's & above","m","sourcing",1,34,3,7,"No",55,"Non-Promotion"
"34100","Operations","Bachelor's","m","sourcing",1,44,5,16,"No",60,"Non-Promotion"
"34109","Finance","Bachelor's","m","sourcing",1,37,3,9,"No",59,"Non-Promotion"
"34112","Analytics","Bachelor's","m","sourcing",1,27,1,3,"No",87,"Non-Promotion"
"34113","Operations","Bachelor's","f","other",1,28,5,2,"No",60,"Non-Promotion"
"34115","Procurement","Master's & above","m","other",1,44,3,13,"No",72,"Non-Promotion"
"34117","Operations","Bachelor's","m","other",3,35,4,6,"No",57,"Non-Promotion"
"34120","Sales & Marketing","Bachelor's","m","other",1,45,5,16,"No",49,"Non-Promotion"
"34121","Operations","Bachelor's","m","sourcing",2,34,5,7,"No",61,"Non-Promotion"
"34122","Sales & Marketing","Master's & above","m","sourcing",2,42,3,7,"No",51,"Non-Promotion"
"34124","Procurement","Master's & above","m","other",2,39,3,8,"No",66,"Non-Promotion"
"34128","Procurement","Master's & above","f","sourcing",1,60,4,5,"No",68,"Non-Promotion"
"34131","Analytics","Bachelor's","m","other",1,28,1,4,"No",81,"Non-Promotion"
"34132","Operations","Master's & above","m","other",1,52,5,9,"No",61,"Non-Promotion"
"34134","Procurement","Bachelor's","m","other",1,29,3,5,"No",71,"Non-Promotion"
"34136","Sales & Marketing","Bachelor's","m","sourcing",1,27,4,3,"No",45,"Non-Promotion"
"34139","Technology","Master's & above","f","other",1,42,1,10,"No",78,"Non-Promotion"
"34142","Legal","Master's & above","m","other",1,35,2,6,"No",60,"Non-Promotion"
"34144","Finance","Master's & above","m","sourcing",3,37,4,8,"No",63,"Non-Promotion"
"34145","Procurement","Bachelor's","f","other",1,32,3,5,"No",72,"Non-Promotion"
"34146","Procurement","Master's & above","m","sourcing",1,34,1,7,"No",69,"Non-Promotion"
"34149","Technology","Bachelor's","f","other",1,34,3,9,"No",83,"Non-Promotion"
"34153","Sales & Marketing","Bachelor's","m","sourcing",2,49,2,14,"No",51,"Non-Promotion"
"34155","Operations","Master's & above","m","other",1,39,3,12,"No",64,"Non-Promotion"
"34158","Technology","Bachelor's","m","other",1,30,3,4,"No",83,"Non-Promotion"
"34160","Technology","Master's & above","m","other",1,34,3,4,"No",82,"Non-Promotion"
"34161","HR","Bachelor's","m","other",1,30,3,7,"No",50,"Non-Promotion"
"34163","Sales & Marketing","Bachelor's","m","sourcing",1,29,4,6,"No",48,"Non-Promotion"
"34169","Operations","Bachelor's","m","sourcing",1,32,3,4,"No",57,"Non-Promotion"
"34177","Procurement","Bachelor's","f","other",1,32,4,6,"No",71,"Non-Promotion"
"34180","Sales & Marketing","Master's & above","m","other",1,57,3,12,"No",50,"Non-Promotion"
"34182","Technology","Bachelor's","m","other",2,54,4,15,"No",82,"Non-Promotion"
"34185","Sales & Marketing","Master's & above","f","other",1,36,3,6,"No",52,"Non-Promotion"
"34189","HR","Bachelor's","m","other",1,31,5,6,"No",46,"Non-Promotion"
"34191","Sales & Marketing","Bachelor's","m","other",1,29,3,2,"No",49,"Non-Promotion"
"34192","Sales & Marketing","Master's & above","f","sourcing",1,36,1,2,"No",52,"Non-Promotion"
"34194","Finance","Bachelor's","f","other",1,46,3,6,"No",56,"Non-Promotion"
"34197","Procurement","Bachelor's","m","other",2,30,3,4,"No",68,"Promotion"
"34199","Operations","Bachelor's","m","sourcing",1,35,1,7,"No",57,"Non-Promotion"
"34200","Operations","Master's & above","m","sourcing",1,34,3,7,"No",59,"Non-Promotion"
"34202","Analytics","Master's & above","f","other",2,35,3,8,"No",85,"Non-Promotion"
"34203","Finance","Bachelor's","m","other",1,33,5,5,"No",59,"Non-Promotion"
"34205","Analytics","Master's & above","m","sourcing",1,35,3,8,"No",87,"Non-Promotion"
"34207","Sales & Marketing","Master's & above","m","other",1,34,2,7,"No",49,"Non-Promotion"
"34215","Sales & Marketing","Bachelor's","m","sourcing",1,28,3,6,"No",47,"Promotion"
"34217","Sales & Marketing","Bachelor's","f","sourcing",1,24,4,2,"No",47,"Non-Promotion"
"34218","Operations","Master's & above","m","other",2,34,4,4,"No",64,"Non-Promotion"
"34219","Operations","Master's & above","m","other",2,40,3,8,"No",58,"Non-Promotion"
"34221","Sales & Marketing","Master's & above","f","other",1,46,3,19,"No",48,"Non-Promotion"
"34229","Sales & Marketing","Master's & above","f","other",1,32,3,10,"No",51,"Non-Promotion"
"34230","HR","Bachelor's","m","other",1,29,3,3,"No",54,"Non-Promotion"
"34231","Procurement","Bachelor's","f","other",1,37,4,11,"No",69,"Non-Promotion"
"34232","Legal","Bachelor's","m","sourcing",1,40,4,3,"No",64,"Non-Promotion"
"34233","Analytics","Bachelor's","m","other",1,31,4,4,"No",87,"Promotion"
"34234","Sales & Marketing","Bachelor's","m","sourcing",1,29,2,4,"No",49,"Non-Promotion"
"34235","Operations","Master's & above","f","sourcing",1,33,4,9,"No",64,"Non-Promotion"
"34238","Finance","Bachelor's","m","sourcing",3,35,5,10,"No",59,"Non-Promotion"
"34241","Operations","Bachelor's","f","sourcing",1,42,4,15,"No",57,"Non-Promotion"
"34242","Operations","Bachelor's","m","other",2,26,5,4,"No",53,"Non-Promotion"
"34247","Finance","Bachelor's","m","sourcing",2,26,5,2,"No",60,"Non-Promotion"
"34248","Sales & Marketing","Bachelor's","m","sourcing",1,27,4,5,"No",47,"Non-Promotion"
"34249","Operations","Bachelor's","m","other",1,39,4,7,"No",63,"Non-Promotion"
"34250","Sales & Marketing","Bachelor's","m","sourcing",2,29,3,4,"No",54,"Non-Promotion"
"34254","Analytics","Bachelor's","m","sourcing",1,33,3,5,"No",85,"Non-Promotion"
"34258","Procurement","Bachelor's","m","sourcing",1,37,1,3,"No",70,"Non-Promotion"
"34261","Technology","Bachelor's","f","other",3,40,2,3,"No",78,"Non-Promotion"
"34264","Sales & Marketing","Bachelor's","m","sourcing",1,29,3,8,"No",95,"Promotion"
"34265","Sales & Marketing","Bachelor's","m","sourcing",1,41,5,16,"No",47,"Non-Promotion"
"34271","Sales & Marketing","Bachelor's","m","other",1,28,5,2,"No",48,"Non-Promotion"
"34273","Finance","Bachelor's","m","sourcing",1,47,5,6,"No",59,"Non-Promotion"
"34274","Procurement","Bachelor's","f","sourcing",1,36,3,7,"No",69,"Promotion"
"34275","Operations","Master's & above","f","other",1,32,4,3,"No",57,"Non-Promotion"
"34276","Sales & Marketing","Bachelor's","f","sourcing",1,37,3,4,"No",55,"Non-Promotion"
"34284","Sales & Marketing","Bachelor's","m","sourcing",1,34,4,7,"No",48,"Non-Promotion"
"34285","Sales & Marketing","Bachelor's","f","other",1,30,2,6,"No",48,"Non-Promotion"
"34292","Finance","Bachelor's","f","sourcing",1,29,4,2,"No",60,"Non-Promotion"
